lat, lon, map_anm_mean, map_se_mean, map_tstat,map_sig, map_sig_val,map_npts,p
47,-73,-227.2165,22.7684,-9.9795,-1,-227.2165,22,0.027942714
49,-73,-11.4125,53.0935,-0.215,0,0,4,0.011989123
59,-73,-8.857,70.062,-0.1264,0,0,3,0.009085903
41,-71,-45.6292,27.003,-1.6898,0,0,18,0.023565122
43,-71,-64.3133,43.4482,-1.4802,0,0,7,0.014649799
45,-71,-101.6885,18.9641,-5.3622,-1,-101.6885,34,0.03353867
47,-71,-190.2496,15.8247,-12.0223,-1,-190.2496,49,0.040176079
49,-71,-25.6026,43.5898,-0.5874,0,0,5,0.014602226
55,-71,-307.0043,72.4667,-4.2365,-1,-307.0043,3,0.00878444
57,-71,-13,148.385,-0.0876,0,0,1,0.004290259
59,-71,-241,148.385,-1.6242,0,0,1,0.004290259
41,-69,-121.6987,53.1797,-2.2884,-1,-121.6987,3,0.011969694
43,-69,-155.62,43.3868,-3.5868,-1,-155.62,7,0.014670524
45,-69,-116.7242,33.0229,-3.5346,-1,-116.7242,13,0.019272241
47,-69,-52.6569,34.664,-1.5191,0,0,11,0.018360352
55,-69,-36.079,39.0428,-0.9241,0,0,9,0.016302125
61,-69,-109.9136,43.5907,-2.5215,-1,-109.9136,7,0.014601925
71,-69,249.8327,92.4711,2.7017,1,249.8327,4,0.006884259
45,-67,-340.4721,37.8216,-9.0021,-1,-340.4721,8,0.016828254
49,-67,34.5237,72.4828,0.4763,0,0,3,0.008782489
51,-67,56.2992,37.3274,1.5083,0,0,6,0.017050947
53,-67,93.1953,37.0946,2.5124,1,93.1953,3,0.017157905
55,-67,-188.6471,34.4886,-5.4698,-1,-188.6471,12,0.018453676
67,-67,-96.848,53.892,-1.7971,0,0,5,0.011811525
33,-65,0,104.924,0,0,0,2,0.006067253
45,-65,-152.3563,64.4403,-2.3643,-1,-152.3563,4,0.009878425
47,-65,-104.156,43.2528,-2.4081,-1,-104.156,6,0.014715958
49,-65,-0.8565,27.6668,-0.031,0,0,19,0.02300023
53,-65,-680.5,104.924,-6.4856,-1,-680.5,2,0.006067253
55,-65,-73,148.385,-0.492,0,0,1,0.004290259
57,-65,-434.0792,37.447,-11.5918,-1,-434.0792,10,0.016996515
45,-63,-512.6213,53.0567,-9.6618,-1,-512.6213,4,0.011997437
47,-63,-279.536,37.4998,-7.4543,-1,-279.536,8,0.016972595
53,-63,-608.0715,79.4867,-7.65,-1,-608.0715,2,0.008008713
55,-63,-340.8643,32.202,-10.5852,-1,-340.8643,12,0.019763221
57,-63,-317.8638,42.6179,-7.4585,-1,-317.8638,8,0.014935109
59,-63,-224.1676,45.5987,-4.9161,-1,-224.1676,5,0.01395912
-15,-61,218,102.0408,2.1364,1,218,1,0.006238675
-13,-61,65,102.0408,0.637,0,0,1,0.006238675
47,-61,-367.4045,55.3849,-6.6337,-1,-367.4045,4,0.011493216
53,-61,35.9988,52.7711,0.6822,0,0,5,0.012062352
55,-61,-616.5715,74.4271,-8.2842,-1,-616.5715,2,0.008553087
