lat, lon, gdd5_anm_mean, gdd5_se_mean, gdd5_tstat,gdd5_sig, gdd5_sig_val,gdd5_npts
   55.000000,   -71.000000,        34.9140,        36.9468,         0.9450,         0.0000,         0.0000,     1
   41.000000,   -69.000000,        47.0000,        75.3461,         0.6238,         0.0000,         0.0000,     1
   43.000000,   -69.000000,      -117.8075,        24.3451,        -4.8391,        -1.0000,      -117.8075,     2
   45.000000,   -69.000000,       -23.4237,        34.1053,        -0.6868,         0.0000,         0.0000,     3
   47.000000,   -69.000000,       189.8965,        30.1709,         6.2940,         1.0000,       189.8965,     4
   55.000000,   -69.000000,       137.1570,        46.4961,         2.9499,         1.0000,       137.1570,     2
   61.000000,   -69.000000,       128.0070,        30.7028,         4.1692,         1.0000,       128.0070,     2
   71.000000,   -69.000000,        95.5430,        33.3554,         2.8644,         1.0000,        95.5430,     1
   45.000000,   -67.000000,       115.4500,        32.0092,         3.6068,         1.0000,       115.4500,     2
   49.000000,   -67.000000,       162.2430,        67.2879,         2.4112,         1.0000,       162.2430,     1
   51.000000,   -67.000000,       304.5425,        70.0799,         4.3456,         1.0000,       304.5425,     2
   53.000000,   -67.000000,       361.2570,       125.5451,         2.8775,         1.0000,       361.2570,     1
   55.000000,   -67.000000,        19.0527,        47.5120,         0.4010,         0.0000,         0.0000,     3
   67.000000,   -67.000000,       109.3000,        48.8455,         2.2377,         1.0000,       109.3000,     1
   45.000000,   -65.000000,       870.1570,        35.3741,        24.5987,         1.0000,       870.1570,     1
   47.000000,   -65.000000,       329.3000,        53.2941,         6.1789,         1.0000,       329.3000,     1
   49.000000,   -65.000000,        92.2393,        29.5148,         3.1252,         1.0000,        92.2393,     4
   57.000000,   -65.000000,        65.2380,        15.7977,         4.1296,         1.0000,        65.2380,     3
   45.000000,   -63.000000,       136.2860,        37.8713,         3.5987,         1.0000,       136.2860,     1
   47.000000,   -63.000000,       243.3430,        27.7601,         8.7659,         1.0000,       243.3430,     2
   53.000000,   -63.000000,      -282.5860,         7.0989,       -39.8070,        -1.0000,      -282.5860,     1
   55.000000,   -63.000000,       135.4190,        54.7584,         2.4730,         1.0000,       135.4190,     3
