lat, lon, mtwa_anm_mean, mtwa_se_mean, mtwa_tstat,mtwa_sig, mtwa_sig_val,mtwa_npts
   49.000000,   -81.000000,         1.3059,         0.4407,         2.9630,         1.0000,         1.3059,    13
   33.000000,   -79.000000,         0.0658,         0.8072,         0.0815,         0.0000,         0.0000,     5
   35.000000,   -79.000000,        -0.6500,         0.6600,        -0.9848,         0.0000,         0.0000,     1
   37.000000,   -79.000000,        -2.3155,         0.6308,        -3.6706,        -1.0000,        -2.3155,     9
   39.000000,   -79.000000,         0.6102,         0.4990,         1.2229,         0.0000,         0.0000,    14
   43.000000,   -79.000000,         0.5220,         0.3774,         1.3831,         0.0000,         0.0000,    22
   45.000000,   -79.000000,         0.0389,         0.2438,         0.1596,         0.0000,         0.0000,    54
   47.000000,   -79.000000,        -2.0187,         0.3339,        -6.0463,        -1.0000,        -2.0187,    27
   49.000000,   -79.000000,        -0.7059,         0.4772,        -1.4794,         0.0000,         0.0000,    12
   37.000000,   -77.000000,        -0.0750,         0.6054,        -0.1239,         0.0000,         0.0000,    10
   39.000000,   -77.000000,         0.1400,         0.8038,         0.1742,         0.0000,         0.0000,     5
   41.000000,   -77.000000,         0.0223,         0.4776,         0.0467,         0.0000,         0.0000,    14
   43.000000,   -77.000000,        -2.3679,         0.7024,        -3.3711,        -1.0000,        -2.3679,     7
   45.000000,   -77.000000,        -0.2156,         0.2494,        -0.8645,         0.0000,         0.0000,    47
   47.000000,   -77.000000,        -1.1320,         0.8034,        -1.4091,         0.0000,         0.0000,     5
   53.000000,   -77.000000,        -1.6522,         0.6792,        -2.4324,        -1.0000,        -1.6522,     6
   55.000000,   -77.000000,        -1.2897,         0.3727,        -3.4602,        -1.0000,        -1.2897,    18
   57.000000,   -77.000000,        -0.1254,         0.8014,        -0.1565,         0.0000,         0.0000,     5
   41.000000,   -75.000000,        -0.6553,         0.2499,        -2.6218,        -1.0000,        -0.6553,    49
   43.000000,   -75.000000,         1.2264,         0.5674,         2.1614,         1.0000,         1.2264,    10
   45.000000,   -75.000000,         0.3480,         0.3293,         1.0567,         0.0000,         0.0000,    23
   47.000000,   -75.000000,         0.8888,         0.4766,         1.8649,         0.0000,         0.0000,    12
   49.000000,   -75.000000,        -0.0390,         0.8180,        -0.0477,         0.0000,         0.0000,     5
   57.000000,   -75.000000,         0.0873,         0.4646,         0.1878,         0.0000,         0.0000,    15
   59.000000,   -75.000000,         0.5584,       624.9377,         0.0009,         0.0000,         0.0000,    16
   41.000000,   -73.000000,        -0.0656,         0.4758,        -0.1378,         0.0000,         0.0000,    12
   43.000000,   -73.000000,         0.2168,         0.3015,         0.7190,         0.0000,         0.0000,    36
   45.000000,   -73.000000,        -0.0760,         0.2092,        -0.3632,         0.0000,         0.0000,    66
   47.000000,   -73.000000,        -0.3942,         0.2889,        -1.3644,         0.0000,         0.0000,    32
   49.000000,   -73.000000,         1.0098,         0.6714,         1.5040,         0.0000,         0.0000,     6
   59.000000,   -73.000000,        -0.4262,         0.7479,        -0.5698,         0.0000,         0.0000,     6
   41.000000,   -71.000000,        -0.1064,         0.3147,        -0.3380,         0.0000,         0.0000,    30
   43.000000,   -71.000000,        -1.1766,         0.5123,        -2.2968,        -1.0000,        -1.1766,    13
   45.000000,   -71.000000,         1.6148,         0.2306,         7.0042,         1.0000,         1.6148,    54
   47.000000,   -71.000000,         1.1925,         0.1907,         6.2545,         1.0000,         1.1925,    79
   49.000000,   -71.000000,         0.3810,         0.5783,         0.6588,         0.0000,         0.0000,     7
   55.000000,   -71.000000,        -0.0716,         0.8091,        -0.0885,         0.0000,         0.0000,     5
   57.000000,   -71.000000,        -2.9667,         1.1563,        -2.5656,        -1.0000,        -2.9667,     3
   59.000000,   -71.000000,         1.9333,         1.1563,         1.6720,         0.0000,         0.0000,     3
   41.000000,   -69.000000,        -0.1157,         0.6753,        -0.1713,         0.0000,         0.0000,     3
   43.000000,   -69.000000,        -0.3850,         0.5184,        -0.7427,         0.0000,         0.0000,    11
   45.000000,   -69.000000,        -0.9853,         0.3710,        -2.6559,        -1.0000,        -0.9853,    23
   47.000000,   -69.000000,         0.0934,         0.3962,         0.2357,         0.0000,         0.0000,    19
   55.000000,   -69.000000,        -1.8722,         0.4287,        -4.3676,        -1.0000,        -1.8722,    15
   61.000000,   -69.000000,         2.3249,         0.5262,         4.4187,         1.0000,         2.3249,    11
   71.000000,   -69.000000,        -1.4838,         0.7512,        -1.9753,         0.0000,         0.0000,     6
   45.000000,   -67.000000,         1.4919,         0.4744,         3.1452,         1.0000,         1.4919,    12
   49.000000,   -67.000000,         0.1544,         0.8050,         0.1918,         0.0000,         0.0000,     5
   51.000000,   -67.000000,         1.0028,         0.5184,         1.9342,         0.0000,         0.0000,     8
   53.000000,   -67.000000,         0.6857,         0.3360,         2.0408,         1.0000,         0.6857,     3
   55.000000,   -67.000000,         0.6551,         0.3953,         1.6574,         0.0000,         0.0000,    18
   67.000000,   -67.000000,         3.5461,         0.6695,         5.2964,         1.0000,         3.5461,     7
   33.000000,   -65.000000,         0.8250,         1.0014,         0.8238,         0.0000,         0.0000,     4
   45.000000,   -65.000000,        -0.2583,         0.7473,        -0.3457,         0.0000,         0.0000,     6
   47.000000,   -65.000000,        -2.7640,         0.5316,        -5.1992,        -1.0000,        -2.7640,    10
   49.000000,   -65.000000,         0.1222,         0.3183,         0.3838,         0.0000,         0.0000,    31
   53.000000,   -65.000000,        -0.8000,         0.8176,        -0.9784,         0.0000,         0.0000,     6
   55.000000,   -65.000000,        -5.0000,         1.4162,        -3.5306,        -1.0000,        -5.0000,     2
   57.000000,   -65.000000,        -1.0797,         0.4185,        -2.5798,        -1.0000,        -1.0797,    18
   45.000000,   -63.000000,         0.3428,         0.6728,         0.5096,         0.0000,         0.0000,     6
