lat, lon, mtco_anm_mean, mtco_se_mean, mtco_tstat,mtco_sig, mtco_sig_val,mtco_npts
   49.000000,   -85.000000,         2.6237,         1.3138,         1.9970,         0.0000,         0.0000,     3
   53.000000,   -85.000000,        -3.2050,         1.1309,        -2.8340,        -1.0000,        -3.2050,     4
   55.000000,   -85.000000,        -0.3092,         1.0442,        -0.2962,         0.0000,         0.0000,     4
   73.000000,   -85.000000,         3.3000,         2.7472,         1.2012,         0.0000,         0.0000,     1
   31.000000,   -83.000000,        -2.1027,         0.7018,        -2.9963,        -1.0000,        -2.1027,    10
   41.000000,   -83.000000,         0.0529,         0.5625,         0.0941,         0.0000,         0.0000,    15
   43.000000,   -83.000000,        -0.0251,         0.7892,        -0.0318,         0.0000,         0.0000,     9
   27.000000,   -81.000000,        -3.3381,         0.6568,        -5.0828,        -1.0000,        -3.3381,     9
   29.000000,   -81.000000,        -6.3573,         0.7953,        -7.9935,        -1.0000,        -6.3573,     7
   35.000000,   -81.000000,         1.2000,         2.7472,         0.4368,         0.0000,         0.0000,     1
   37.000000,   -81.000000,         1.4725,         1.2232,         1.2038,         0.0000,         0.0000,     4
   39.000000,   -81.000000,        -1.2033,         1.3506,        -0.8910,         0.0000,         0.0000,     3
   41.000000,   -81.000000,        -1.1331,         0.8815,        -1.2855,         0.0000,         0.0000,     7
   43.000000,   -81.000000,         0.1193,         0.6206,         0.1923,         0.0000,         0.0000,    16
   45.000000,   -81.000000,        -0.0201,         0.5287,        -0.0381,         0.0000,         0.0000,    16
   47.000000,   -81.000000,         1.8404,         0.5363,         3.4320,         1.0000,         1.8404,    17
   49.000000,   -81.000000,         1.2786,         0.6701,         1.9079,         0.0000,         0.0000,     9
   33.000000,   -79.000000,         0.2667,         1.3743,         0.1940,         0.0000,         0.0000,     3
   35.000000,   -79.000000,         9.5000,         1.8500,         5.1351,         1.0000,         9.5000,     1
   37.000000,   -79.000000,        -1.2460,         1.1248,        -1.1078,         0.0000,         0.0000,     5
   39.000000,   -79.000000,         0.3765,         0.8503,         0.4428,         0.0000,         0.0000,     8
   43.000000,   -79.000000,         0.0889,         0.5960,         0.1492,         0.0000,         0.0000,    14
   45.000000,   -79.000000,         0.6263,         0.3990,         1.5694,         0.0000,         0.0000,    32
   47.000000,   -79.000000,         1.0330,         0.5530,         1.8681,         0.0000,         0.0000,    17
   49.000000,   -79.000000,         2.1901,         0.7396,         2.9611,         1.0000,         2.1901,     8
   37.000000,   -77.000000,        -3.3833,         1.0451,        -3.2375,        -1.0000,        -3.3833,     6
   39.000000,   -77.000000,         0.8333,         1.3732,         0.6069,         0.0000,         0.0000,     3
   41.000000,   -77.000000,         1.3108,         0.7877,         1.6640,         0.0000,         0.0000,     8
