lat, lon, alpha_anm_mean, alpha_se_mean, alpha_tstat,alpha_sig, alpha_sig_val,alpha_npts
   61.000000,    87.000000,         0.0082,         0.0169,         0.4837,         0.0000,         0.0000,     6
   67.000000,    87.000000,         0.0290,         0.0319,         0.9099,         0.0000,         0.0000,     2
   69.000000,    87.000000,         0.0328,         0.0231,         1.4208,         0.0000,         0.0000,     4
   31.000000,    89.000000,         0.0090,         0.0385,         0.2338,         0.0000,         0.0000,     1
   37.000000,    89.000000,         0.1780,         0.0370,         4.8108,         1.0000,         0.1780,     1
   49.000000,    89.000000,         0.0935,         0.0156,         6.0090,         1.0000,         0.0935,     8
   57.000000,    89.000000,         0.0315,         0.0287,         1.0959,         0.0000,         0.0000,     2
   61.000000,    89.000000,         0.0440,         0.0301,         1.4601,         0.0000,         0.0000,     2
   41.000000,    91.000000,         0.0680,         0.0398,         1.7085,         0.0000,         0.0000,     1
   49.000000,    91.000000,         0.1300,         0.0234,         5.5649,         1.0000,         0.1300,     4
   61.000000,    91.000000,        -0.0777,         0.0232,        -3.3496,        -1.0000,        -0.0777,     4
   35.000000,    93.000000,         0.1240,         0.0439,         2.8246,         1.0000,         0.1240,     1
   59.000000,    93.000000,        -0.0965,         0.0533,        -1.8120,         0.0000,         0.0000,     2
   51.000000,    95.000000,        -0.0665,         0.0497,        -1.3385,         0.0000,         0.0000,     2
   39.000000,    97.000000,         0.0640,         0.0426,         1.5023,         0.0000,         0.0000,     1
   27.000000,    99.000000,         0.0740,         0.0250,         2.9600,         1.0000,         0.0740,     1
   37.000000,    99.000000,        -0.0910,         0.0130,        -7.0000,        -1.0000,        -0.0910,     1
   49.000000,    99.000000,        -0.0982,         0.0198,        -4.9642,        -1.0000,        -0.0982,     9
   51.000000,    99.000000,        -0.0890,         0.0395,        -2.2532,        -1.0000,        -0.0890,     2
   71.000000,    99.000000,         0.0240,         0.0386,         0.6213,         0.0000,         0.0000,     2
   23.000000,   101.000000,         0.1840,         0.0765,         2.4052,         1.0000,         0.1840,     1
   25.000000,   101.000000,         0.0270,         0.0842,         0.3207,         0.0000,         0.0000,     1
   27.000000,   101.000000,         0.0170,         0.0000,         0.0000,         0.0000,         0.0000,     1
   33.000000,   101.000000,         0.1600,         0.0313,         5.1082,         1.0000,         0.1600,     2
   47.000000,   101.000000,         0.0400,         0.0577,         0.6935,         0.0000,         0.0000,     2
